Date,Headline,Summary,Link,Ticker,RetrievalScore,Sentiment
,"Daily Voice: India-Pakistan escalation can trigger 5-6% correction, Nifty support around 22,000, says Narnolia's Shailendra Kumar","Any Nifty correction due to heightened conflict concerns between India and Pakistan would present a favourable opportunity to initiate investments, said Narnolia's Shailendra Kumar.",https://www.moneycontrol.com/news/business/markets/daily-voice-india-pakistan-escalation-can-trigger-5-6-correction-nifty-support-around-22-000-says-narnolia-s-shailendra-kumar-13020062.html,AAPL,0.357,positive
,"Fact check: Government flags fake X accounts impersonating Vyomika Singh, Sofia Qureshi",The Press Information Bureau’s (PIB) fact-checking unit has clarified that neither Wing Commander Vyomika Singh nor Colonel Sofia Qureshi maintains an official presence on X.,https://www.moneycontrol.com/news/business/fact-check-government-flags-fake-x-accounts-impersonating-vyomika-singh-sofia-qureshi-13019951.html,GOOG,0.334,negative
,"Fact check: Government flags fake X accounts impersonating Vyomika Singh, Sofia Qureshi",The Press Information Bureau’s (PIB) fact-checking unit has clarified that neither Wing Commander Vyomika Singh nor Colonel Sofia Qureshi maintains an official presence on X.,https://www.moneycontrol.com/news/business/fact-check-government-flags-fake-x-accounts-impersonating-vyomika-singh-sofia-qureshi-13019951.html,MSFT,0.326,negative
,"Fact check: Government flags fake X accounts impersonating Vyomika Singh, Sofia Qureshi",The Press Information Bureau’s (PIB) fact-checking unit has clarified that neither Wing Commander Vyomika Singh nor Colonel Sofia Qureshi maintains an official presence on X.,https://www.moneycontrol.com/news/business/fact-check-government-flags-fake-x-accounts-impersonating-vyomika-singh-sofia-qureshi-13019951.html,AAPL,0.322,negative
,SP Group launches internal inquiry on arrest of executive in bribery case,"The CBI arrested Jeevan Lal Lavidiya, Commissioner of Income Tax (Exemption), Hyderabad, for allegedly accepting a bribe of ₹70 lakh to favour the Shapoorji Pallonji Group.",https://www.moneycontrol.com/news/business/sp-group-launches-internal-inquiry-on-arrest-of-executive-in-bribery-case-13019943.html,GOOG,0.378,negative
,SP Group launches internal inquiry on arrest of executive in bribery case,"The CBI arrested Jeevan Lal Lavidiya, Commissioner of Income Tax (Exemption), Hyderabad, for allegedly accepting a bribe of ₹70 lakh to favour the Shapoorji Pallonji Group.",https://www.moneycontrol.com/news/business/sp-group-launches-internal-inquiry-on-arrest-of-executive-in-bribery-case-13019943.html,MSFT,0.324,negative
,SP Group launches internal inquiry on arrest of executive in bribery case,"The CBI arrested Jeevan Lal Lavidiya, Commissioner of Income Tax (Exemption), Hyderabad, for allegedly accepting a bribe of ₹70 lakh to favour the Shapoorji Pallonji Group.",https://www.moneycontrol.com/news/business/sp-group-launches-internal-inquiry-on-arrest-of-executive-in-bribery-case-13019943.html,AAPL,0.311,negative
,"Adani Power to supply 1,500 MW to Uttar Pradesh","This is further to the Uttar Pradesh cabinet approving the project earlier this month, a company statement said.",https://www.moneycontrol.com/news/business/adani-power-to-supply-1-500-mw-to-uttar-pradesh-13019937.html,MSFT,0.4,neutral
,"Adani Power to supply 1,500 MW to Uttar Pradesh","This is further to the Uttar Pradesh cabinet approving the project earlier this month, a company statement said.",https://www.moneycontrol.com/news/business/adani-power-to-supply-1-500-mw-to-uttar-pradesh-13019937.html,GOOG,0.376,neutral
,"Adani Power to supply 1,500 MW to Uttar Pradesh","This is further to the Uttar Pradesh cabinet approving the project earlier this month, a company statement said.",https://www.moneycontrol.com/news/business/adani-power-to-supply-1-500-mw-to-uttar-pradesh-13019937.html,AAPL,0.371,neutral
